Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1 — Business
ABBREVIATIONS AND INDUSTRY TERMS
Xcel Energy Inc.’s Subsidiaries and Affiliates (current and former)
Capital Services | Capital Services, LLC 
Eloigne | Eloigne Company 
e prime | e prime inc. 
NCE | New Century Energies, Inc. 
NSP-Minnesota | Northern States Power Company, a Minnesota corporation 
NSP System | The electric production and transmission system of NSP-Minnesota and NSP-Wisconsin operated on an integrated basis and managed by NSP-Minnesota
NSP-Wisconsin | Northern States Power Company, a Wisconsin corporation 
Operating companies | NSP-Minnesota, NSP-Wisconsin, PSCo and SPS 
PSCo | Public Service Company of Colorado 
SPS | Southwestern Public Service Co. 
Utility subsidiaries | NSP-Minnesota, NSP-Wisconsin, PSCo and SPS 
WGI | WestGas InterState, Inc. 
WYCO | WYCO Development, LLC 
Xcel Energy | Xcel Energy Inc. and its subsidiaries 


Federal and State Regulatory Agencies
CPUC | Colorado Public Utilities Commission 
D.C. Circuit | United States Court of Appeals for the District of Columbia Circuit
DOC | Minnesota Department of Commerce 
DOE | United States Department of Energy 
DOJ | Department of Justice 
DOT | United States Department of Transportation 
EPA | United States Environmental Protection Agency 
FERC | Federal Energy Regulatory Commission 
Fifth Circuit | United States Court of Appeals for the Fifth Circuit 
IRS | Internal Revenue Service 
Minnesota District Court | U.S. District Court for the District of Minnesota 
MPSC | Michigan Public Service Commission 
MPUC | Minnesota Public Utilities Commission 
NDPSC | North Dakota Public Service Commission 
NERC | North American Electric Reliability Corporation 
Ninth Circuit | U.S. Court of Appeals for the Ninth Circuit 
NMPRC | New Mexico Public Regulation Commission 
NRC | Nuclear Regulatory Commission 
OAG | Minnesota Office of the Attorney General 
PHMSA | Pipeline and Hazardous Materials Safety Administration 
PSCW | Public Service Commission of Wisconsin 
PUCT | Public Utility Commission of Texas 
SDPUC | South Dakota Public Utilities Commission 
SEC | Securities and Exchange Commission 
TCEQ | Texas Commission on Environmental Quality 


Electric, Purchased Gas and Resource Adjustment Clauses
CIP | Conservation improvement program 
DCRF | Distribution cost recovery factor 
DSM | Demand side management 
