Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1. Business
Company Overview

We are a leading diversified media company with television broadcasting, television network and digital media assets operating in the United States. As of December 31, 2022, we owned, operated, programmed or provided sales and other services to 199 full power television stations and one AM radio station, including television stations owned by VIEs, in 116 markets in 39 states and the District of Columbia. The stations are affiliates of CBS, FOX, NBC, ABC, The CW, and MyNetworkTV (“MNTV”) and other broadcast television networks. Our television broadcasts reach approximately 39% of all U.S. television households after applying the Federal Communications Commission’s (“FCC”) ultra-high-frequency (“UHF”) discount and approximately 68% of all U.S. television households excluding the FCC UHF discount. We also own a 75.0% interest in The CW Network, LLC (“The CW”), one of the major broadcast networks in the U.S., NewsNation, a national cable news network which is distributed to approximately 70 million homes according to The Nielsen Company (US), LLC (“Nielsen”); two digital multicast networks, Antenna TV and Rewind TV, and a 31.3% ownership stake in Television Food Network, G.P. (“TV Food Network”). Our digital assets include more than 140 local websites, 280 mobile applications, 22 connected television applications, and six free-ad supported television (“FAST”) channels representing content from our local television stations, The CW, NewsNation, The Hill, and BestReviews as well as a suite of advertising solutions for brands and advertisers. Together, our other digital properties attracted almost 100 million unique visitors in December 2022 according to Comscore.
 
The stations we own and operate or provide services to provide free programming to consumers in our markets. This programming includes programs produced by third party networks with which the stations are affiliated, programs distributed by our owned and majority-owned broadcast networks to the affiliated stations, content that the stations produce, and syndicated programs that the stations acquire. The CW delivers 14-hours per week of primetime programming and three hours on weekends to its larger market affiliates, 24 hours of programming, seven days per week to its smaller market affiliates via CWPlus and, beginning in 2023, is expanding its programming on the weekends with LIV Golf. The CW also offers its network content as well as a library of other third-party content available for free to users via The CW App. Our NewsNation cable network primarily delivers national news programming supplemented by quality television series and movies. Our digital businesses include video and display advertising platforms that are delivered locally or nationally through our own and various third-party websites, mobile and over-the-top (“OTT”) applications, other digital media solutions to media publishers and advertisers and a consumer product reviews platform.

Our primary sources of revenue include contractual distribution revenue from retransmission consent and carriage agreements with distributors (“MVPDs”), such as cable and satellite providers, and online video distributors (“OVDs”), companies that provide video content through internet streaming either directly or via our network affiliation partners as well as affiliation fees from local affiliates of The CW; the sale of commercial air time by the stations to local advertisers; the sale of commercial airtime by the stations and by our cable and broadcast networks to national advertisers; the sale of advertising on the stations’ websites, on our other owned or third party websites, and through mobile and OTT applications and other digital advertising solutions.

We also derive significant cash flows from our largest equity investment, a 31.3% interest in TV Food Network. TV Food Network operates two 24-hour television networks, Food Network and Cooking Channel, offering quality television, video, internet and mobile entertainment and information focusing on food and entertaining.
 
We seek to grow our revenue, operating income, EBITDA and cash flow by continuing to provide high quality content that attracts and engages audiences as our reach and consumer engagement are important to our distribution partners and advertisers. We use our industry-leading scale to assist us in securing distribution revenue streams, to provide advertisers with solutions across geographies and media types to engage both local and national audiences at scale and to leverage costs against a broader platform. In addition, we plan to continue to acquire or invest in businesses that can benefit from our scale, asset mix and record of management and cost discipline.
 
We are a Delaware corporation formed in 1996. Our principal offices are at 545 E. John Carpenter Freeway, Suite 700, Irving, TX 75062. Our telephone number is (972) 373-8800 and our website is http://www.nexstar.tv. The information contained on, or accessible through, our website is not part of this Annual Report on Form 10-K and is not incorporated herein by reference.
 

Recent Acquisition
 On September 30, 2022, we acquired a 75.0% ownership interest in The CW from affiliates of Paramount Global and Warner Bros. Discovery, Inc. (collectively the “Sellers”) for no purchase consideration. Each of the Sellers retained a 12.5% ownership interest and will produce 12 original, scripted series for The CW primarily to air during the 2022/2023 broadcast season. The Sellers have granted us a call right and we granted each of the Sellers a put right for such Seller’s ownership interest beginning in August 2024 and June 2026, respectively. The acquisition solidifies our revenue opportunities as the largest owner of The CW-affiliated stations, diversifies our content outside of news, improves our national advertising opportunities, establishes us as a participant in advertising video-on-demand services via The CW App and is expected to create value by improving The CW’s ratings, revenue, and profitability.
 See Note 3 to our Consolidated Financial Statements in Part IV, Item 15(a) of this Annual Report on Form 10-K for additional information on the above transaction.
 Competitive Strengths
Unique Combination of Scaled Local Audiences and Powerful National Reach. We believe we are the largest local broadcasting company in the United States, generating $5.2 billion of revenue for the year ended December 31, 2022. Our and our partners’ 200 broadcast stations in 116 local markets reach approximately 68% of U.S. television households (without applying the FCC UHF discount), which local reach is augmented by the national reach we have via our broadcast network, The CW, and our cable news network, NewsNation. According to Nielsen, The CW Network reaches 123.8 million television households, equal to the reach of the ABC, CBS, FOX and NBC broadcast networks and NewsNation reaches 70 million television households virtually equivalent to the reach of CNN and Fox News and greater than the reach of MSNBC. Together, Nexstar can provide both national reach and activation of local audiences at scale, representing a differentiated and attractive value proposition for advertisers and brands in an increasingly fragmented marketplace.
 Leading Local Franchises.  We are focused on building and maintaining leading local franchises in our 116 local markets which are core to our business model. In total, we employ approximately 5,500 local journalists and 1,500 local salespeople, produce almost 300,000 hours of local content, and have developed relationships with over 40,000 local advertisers. Each of the stations that we own, operate, program, or provide sales and other services to creates a highly recognizable local brand, primarily through the quality of local news programming, extensive local sports coverage, and community presence. According to Comscore, in over 76% of our markets in which we produce local newscasts, we rank among the top two stations in local news viewership. We employ a high-quality local sales force in each of our markets to increase revenue from local advertisers by capitalizing on our investment in local programming and community websites. In addition, we own or provide services to more than one station in markets to enable us to broaden our audience share, enhance our revenue share and achieve significant operating efficiencies. In even-numbered years, when most elections are held, we historically have generated substantial revenue from locally driven, political advertising. Given our diverse and expansive geographic reach, we have television stations in more than 80% of markets where there were contested political elections in 2022. For the year ended December 31, 2022, the Company earned approximately 67.5% of its core and political advertising revenue from non-Network programming.
Strong National Brands. We have a portfolio of scaled, strong national brands that enables us to engage with national advertisers in more meaningful ways than we have in the past. Our national brands include The CW Network, NewsNation, The Hill and BestReviews. The CW is America’s fifth national broadcast network. NewsNation is America’s fastest growing cable news network attracting top on-air talent to its ranks given its mission of delivering fact-based, unbiased journalism. The Hill is the nation’s leading, independent political digital media platform. BestReviews is a leading consumer product recommendations company.
 Diversified Revenue Streams. Our revenue streams are diversified by geography, affiliation and source. In 2022, we generated 49.3% of our revenue from distribution, 33.0% from core advertising (of which approximately 68% was from local sources), 9.7% from political advertising and 8.0% from digital advertising and other sources. No single customer generated more than 12% of our revenue; no single market generated more than 4% of our revenue and our affiliations are diverse with CBS, FOX, NBC, The CW, ABC, and MNTV affiliated stations, representing approximately 25.6%, 22.5%, 20.2%, 12.2%, 11.0% and 3.2%, respectively, of our 2022 combined core and political advertising net revenue.
Intense Operational Focus. We emphasize strict controls on operating and programming costs in order to increase EBITDA and free cash flow. We continually seek to identify and implement cost savings at each of our stations, the stations we provide services to and other business units, and our overall size benefits each station or business unit with respect to negotiating favorable terms with programming suppliers and other vendors. By leveraging our size and corporate management expertise, we are able to achieve economies of scale by providing programming, financial, sales and marketing support to our stations, the stations we provide services to and other business units. Our operational execution expertise is the direct result of our talented management team. We seek to attract and retain corporate, business unit and station general managers with proven track records by providing equity incentives.
 


Attractive Financial Profile.  Since 2020, we have grown our revenue each year, generated net cash from operating activities of $1.4 billion in 2022 and in excess of $1.2 billion in each of 2020 and 2021 and returned an increasing amount of that cash flow to shareholders in the form of share repurchases and dividends in each year (in total: $382.9 million in 2020, $655.0 million in 2021 and $1.0 billion in 2022) while maintaining a corporate credit rating of Ba3 / BB as rated by Moody’s / S&P. We believe we have the financial flexibility to both invest in organic and inorganic growth initiatives while continuing to return capital to our shareholders.
 Growth Strategies
We continually seek to generate revenue, operating income, EBITDA and cash flow growth through the following strategies:
 Leverage Our Scale. We believe we are one of the largest affiliate groups for each of our major broadcast network partners. We are an important partner for the MVPDs and OVDs which include our content in their consumer offerings. Our digital assets attract an audience that makes us a top ten digital news and information property, according to Comscore. Our scale provides us with unique operating advantages in the form of services we can provide to our advertisers, audience and employees, a platform for growth and operating expense synergies and access to capital. As part of this strategy, in January 2023, we announced a newly created advertising sales structure and leadership team designed to drive advertising sales across our diversified media portfolio by further emphasizing our client-first approach, combined with a new data-driven, multi-platform focus.
Continue to Grow Distribution and Core and Political Advertising Revenues. We believe our core business of distribution and advertising revenue has the potential to continue to grow for the foreseeable future. We generated 49.3% of our net revenue for the year ended December 31, 2022 from distribution fees paid to us by MVPDs and OVDs for retransmission of our content. We believe that the share of audience that our content generates for MVPDs and OVDs is greater than the share of fees those platforms pay us. In 2022, we renegotiated retransmission contracts representing over half of our subscriber base. We generated 33.0% of our revenue from core advertising and 9.7% from political advertising revenue for the year ended December 31, 2022. According to SNL Kagan, local broadcast industry advertising revenue should continue to grow over the next ten years.
 Expand Digital Offerings.  For the fiscal year ended December 31, 2022, only 7.0% of our net revenue was generated from digital advertising. We are focused on better monetizing our digital content and audience and growing our portfolio of digital products, services and content and associated revenue streams. In 2022, we launched The Hill TV FAST channel, building upon The Hill’s success as an essential, agenda-setting read for lawmakers, policymakers and influential digital consumers. In 2021, we launched STELLAR, our unified digital platform that enables advertisers to increase customer acquisition and deliver effective omni-channel advertising campaigns.
 Operate and Expand National Broadcast and Cable Networks. We seek to continue to increase the viewership and revenues of our national television network assets, The CW and NewsNation.
 
The CW. We acquired The CW in September 2022 for no consideration. As the largest affiliate of The CW, we acquired the network to sustain and grow our CW-related revenue streams and to improve this underexploited national broadcast network asset. Our growth strategy for The CW is three-fold: First, we intend to improve and diversify the programming to align with audiences with the intention of improving ratings and revenue. To that end, in January 2023, we announced that The CW entered into an exclusive broadcast partnership with LIV Golf; Second, we are focused on accelerating digital growth via The CW App and cwtv.com by monetizing The CW Network’s content and a library of third-party content; and Third, we are actively reducing costs while focusing on execution. We believe there is potential for The CW to improve its profitability in line with other broadcast networks but also improve the profitability of Nexstar’s CW affiliates.
 
NewsNation. In 2020, we initiated the conversion of WGN America to NewsNation, a new cable news network, leveraging our core competency in news and profitable foundation to build a network focused on providing unbiased, fact-based news. Since then, NewsNation has emerged as America’s fastest growing cable news network and has been recognized by independent watchdog groups such as Ad Fontes Media, NewsGuard and AllSides, for its independent, unbiased reporting of national and local news. Currently, NewsNation provides 17 hours of news content each weekday which we expect to grow to 24 hours by the end of 2023 and to 24 hours, seven-days-a-week by 2024. We believe there is significant growth potential for NewsNation as news networks are among the most watched and profitable cable networks.
 Develop New Revenue Streams. We seek to generate new revenue streams leveraging the platform and assets of our company. Given our extensive station portfolio and geographic coverage, we are in the process of converting the technology used by our stations to a new standard, ATSC 3.0, which will enable us to provide new high speed data transmission services to businesses and consumers. Our goal is to increase our total ATSC 3.0 coverage of U.S. television households to approximately 50% from 35% as of December 31, 2022. We anticipate that this conversion will enable us to develop a new business and generate additional revenue in the future.
 

Acquire and Invest in New and Complementary Businesses. We selectively pursue acquisitions where we believe we can improve revenue, operating income, EBITDA and cash flow through active management. We selectively pursue acquisitions of businesses that leverage our platform, scale and capabilities and are complementary to our vision of providing local news, entertainment, and sports content through broadcast and digital platforms. In addition, we will continue to pursue television station acquisitions in markets where permitted by the current regulatory framework.
 
Relationship with VIEs
 Through various local service agreements, as of December 31, 2022, we provided sales, programming and other services to 35 full power television stations owned by consolidated VIEs and one full power television station owned by an unconsolidated VIE. As of December 31, 2022, all of the VIEs and their stations are 100% owned by independent third parties. In compliance with FCC regulations for all the parties, the VIEs maintain complete responsibility for and control over programming, finances, personnel and operations of their stations. However, for the consolidated VIEs, we are deemed under U.S. GAAP to have controlling financial interests in these entities because of (i) the local service agreements Nexstar has with the consolidated VIEs’ stations, (ii) Nexstar’s (excluding The CW) guarantee of the obligations incurred under the senior secured credit facility of Mission Broadcasting, Inc. (“Mission”), a consolidated VIE, (iii) Nexstar having power over significant activities affecting the consolidated VIEs’ economic performance, including budgeting for advertising revenue, certain advertising sales and, in some cases, hiring and firing of sales force personnel and (iv) purchase options granted by each consolidated VIE which permit Nexstar to acquire the assets and assume the liabilities of all of the consolidated VIEs’ stations at any time, subject to FCC consent. These purchase options are freely exercisable or assignable by Nexstar without consent or approval by the VIEs. These option agreements expire on various dates between 2023 and 2033. We expect to renew these option agreements upon expiration. Therefore, these VIEs are consolidated into these financial statements.
 For additional information on VIEs, see Note 2 to our Consolidated Financial Statements in Part IV, Item 15(a) of this Annual Report on Form 10-K.
 

The Stations
The following chart sets forth general information about the television stations (full power, low power and multicast channels) we currently own, operate, program or provide sales and other services to:

Market Rank(1) | Market | Status(2) | Full Power Stations | Primary Affiliation(3) | Low Power Stations / Multicast Channels | Other Affiliation(3)(4) | FCC License Expiration Date
 | New York, NY | LSA | WPIX(5) | The CW | WPIX-D2, D3, D4, D5 | Antenna TV, Court TV, Rewind TV, QVC | 6/1/2023 
 | Los Angeles, CA | O&O | KTLA | The CW | KTLA-D2, D3, D4, D5 | Antenna TV, Court TV, TBD, Rewind TV | (19) 
 | Chicago, IL | O&O | WGN | Independent | WGN-D2, D3, D4, D5 | Antenna TV, GRIT, Rewind TV, TBD | 4/1/2030 
 | Philadelphia, PA | O&O | WPHL | MNTV | WPHL-D2, D3, D4 | Antenna TV, Court TV, Comet | 8/1/2023 
 | Dallas, TX | O&O | KDAF | The CW | KDAF-D2, D3, D4, D5 | Antenna TV, Court TV, Charge!, Rewind TV | 8/1/2030 
 | Houston, TX | O&O | KIAH | The CW | KIAH-D2, D3, D4, D5 | Antenna TV, Comet, TBD, Court TV | (19) 
 | DC/Hagerstown, MD | O&OO&O | WDCWWDVM(6) | The CWIndependent | WDCW-D2, D3, D4WDVM-D2, D3, D4 | Antenna TV, WDVM, UnivisionION Mystery, Rewind TV, HSN | 10/1/202810/1/2028 
10 | San Francisco, CA | O&O | KRON | MNTV | KRON-D2, D3, D4, D5 | Antenna TV, Rewind TV, Quest, ShopLC | (19) 
13 | Tampa, FL | O&OO&O | WFLAWTTA(7) | NBCMNTV | WFLA-D2, D3WTTA-D2 | Charge, Antenna TVCozi TV | 2/1/20292/1/2029 
16 | Denver, CO | O&OO&OO&O | KDVRKFCTKWGN | FOXFOXThe CW | KDVR-D2, D3KWGN-D2, D3, D4 | Antenna TV, TBDgetTV, Comet, Charge! | (19)(19)4/1/2030 
 | Cleveland, OH | O&O | WJW | FOX | WJW-D2, D3, D4 | Antenna TV, Comet, Charge! | 10/1/2029 
 | Sacramento, CA | O&O | KTXL | FOX | KTXL-D2, D3, D4 | Antenna TV, GRIT, TBD | (19) 
 | Charlotte, NC | O&OO&O | WJZYWMYT | FOXMNTV | WJZY-D3, D4, D5, D6, D7, D8 | Charge, Movies!, H&I, ION, TheGrio, Rewind TV | 12/1/202812/1/2028 
 | Portland, OR | O&OO&O | KOINKRCW | CBSThe CW | KOIN-D2, D3KRCW-D2, D3, D4 | getTV, Rewind TVAntenna TV, GRIT, TBD | 2/1/20232/1/2023 
 | Raleigh, NC | O&O | WNCN | CBS | WNCN-D2, D3, D4 | Rewind TV, GRIT, Circle | 12/1/2028 
 | St. Louis, MO | O&OO&O | KTVIKPLR | FOXThe CW | KTVI-D2, D3, D4KPLR-D2, D3, D4 | Antenna TV, ION Mystery, DablCourt TV, Comet, Rewind TV | (19)2/1/2030 
 | Indianapolis, IN | O&OO&OO&O | WTTVWTTKWXIN | CBSCBSFOX | WTTV-D2, D3, D4WTTK-D2, D3WXIN-D2, D3, D4 | Independent, Comet, TBDIndependent, Cozi TVAntenna TV, Court TV, Charge! | 8/1/20298/1/20298/1/2029 
27 | Nashville, TN | O&O | WKRN | ABC | WKRN-D2, D3, D4 | ION Mystery, True Crime, Rewind TV | 8/1/2029 
 | Salt Lake City, UT | O&OO&O | KTVXKUCW | ABCThe CW | KTVX-D2, D3, D4KUCW-D2, D3, D4 | MeTV, Rewind TV, The GrioION Mystery, Quest, HSN | (19) 
 | San Diego, CA | O&O | KSWB | FOX | KSWB-D2, D3, D4 | Antenna TV, Court TV, ION, Rewind TV | (19) 
 | Columbus, OH | O&O | WCMH | NBC | WCMH-D2, D3, D4 | Court TV, ION, Laff | 10/1/2029 
 | Kansas City, MO | O&O | WDAF | FOX | WDAF-D2, D3, D4 | Antenna TV, Court TV, TBD | (19) 
 | New Haven, CT | O&OO&O | WTNHWCTX(7) | ABCMNTV | WTNH-D2WCTX-D2 | Rewind TVComet | 4/1/20234/1/2023 
 | Austin, TX | O&OO&OLSA | KXANKBVOKNVA(8) | NBCMNTVThe CW | KXAN-D2, D3, D4KBVO-D2, D3, D4KNVA-D2, D3, D4 | Cozi TV, ION, Rewind TVBounce, Antenna TV, DefyGRIT, Laff, Court TV | (19)(19)8/1/2030 
37 | Spartanburg, SC | O&OO&O | WSPAWYCW(7) | CBSThe CW | WSPA-D3WYCW-D3 | IONTrue Crime | 12/1/202812/1/2028 
40 | Las Vegas, NV | O&O | KLAS | CBS | KLAS-D2, D3, D4 | Rewind TV, getTV, ShopLC | (19) 
 | Grand Rapids, MI | O&OO&OO&O | WOODWOTV | NBCABC | WOOD-D2, D3WOTV-D2, D3, D4WXSP-CD, D2, D3 | Rewind TV, TheGrioDabl, Charge, WeatherMNTV, Cozi TV, Comet | 10/1/202910/1/202910/1/2029
 | Harrisburg, PA | O&O | WHTM | ABC | WHTM-D2, D3, D4, D5 | ION, GRIT, Laff, WLYH | 8/1/2023 
 | Portsmouth, VA | O&OO&O | WAVYWVBT | NBCFOX | WAVY-D2, D3, D4WVBT-D2, D3 | Stadium, getTV, ShopLCCozi TV, Rewind TV | 10/1/202810/1/2028 
 | Birmingham, AL | O&O | WIAT | CBS | WIAT-D2, D3, D4 | ION Mystery, True Crime, TrueReal | 4/1/2029 
 | Oklahoma City, OK | O&OO&O | KFORKAUT | NBCIndependent | KFOR-D2, D3, D4KAUT-D2, D3, D4 | Antenna TV, True Crime, DablCourt TV, ION Mystery, Cozi TV | (19) 
 | Greensboro, NC | O&O | WGHP | FOX | WGHP-D2, D3, D4 | Antenna TV, Court TV, Dabl | 12/1/2028 
 | Albuquerque, NM | O&OO&OO&OLSALSALSA | KRQEKREZ(9)KBIM(9)KRWB(5)KWBQ(5)KASY(5) | CBSCBSCBSThe CWThe CWMNTV | KRQE-D2, D3KREZ-D2KBIM-D2KRWB-D2KWBQ-D2, D3, D4, D5KASY-D2, D3, D4, D5 | FOX, BounceFOXFOXMNTVGRIT, Laff, ION, Rewind TVION Mystery, getTV, Court TV, Antenna TV | (19) 
 | New Orleans, LA | O&OO&O | WGNOWNOL | ABCThe CW | WGNO-D2, D3, D4WNOL-D2, D3, D4 | Antenna TV, Rewind TV, TBDCourt TV, Comet, Charge! | (19)6/1/2029 

 
8




Market Rank(1) | Market | Status(2) | Full Power Stations | Primary Affiliation(3) | Low Power Stations / Multicast Channels | Other Affiliation(3)(4) | FCC License Expiration Date 
 | Providence, RI | O&OLSA | WPRIWNAC(5) | CBSFOX | WPRI-D2, D3, D4WNAC-D2, D3, D4 | MNTV, True Crime, DablThe CW, Rewind TV, Antenna TV | 4/1/20234/1/2023 
 | Memphis, TN | O&O | WREG | CBS | WREG-D2, D3 | News3, Antenna TV | 8/1/2029 
 | Fresno, CA | O&OO&O | KSEEKGPE | NBCCBS | KSEE-D2, D3, D4 KGPE-D2, D3, D4 | Bounce, GRIT, Rewind TVION Mystery, TheGrio, Court TV | (19) 
 | Buffalo, NY | O&OO&O | WIVB(7)WNLO | CBSThe CW | WIVB-D2WNLO-D2 | QVCRewind TV | 6/1/20236/1/2023 
 | Richmond, VA | O&O | WRIC | ABC | WRIC-D2, D3, D4 | Rewind TV, Cozi TV, Laff | 10/1/2028 
 | Wilkes Barre, PA | O&OLSA | WBREWYOU(5) | NBCCBS | WBRE-D2, D3, D4WYOU-D2, D3, D4 | Laff, Rewind TV, True CrimeION Mystery, Twist, Cozi TV | 8/1/20238/1/2023 
 | Mobile, AL | O&OO&O | WKRGWFNA | CBSThe CW | WKRG-D2, D3, D4WFNA-D2, D3, D4 | ION, MeTV, Court TVBounce, True Crime, GRIT | 4/1/20294/1/2029 
 | Albany, NY | O&OLSA | WTENWXXA(5) | ABCFOX | WTEN-D2, D3, D4WXXA-D2, D3, D4, D5 | Cozi TV, Antenna TV, ION MysteryOTB-TV, Laff, Rewind TV, True Crime | 6/1/20236/1/2023 
 | Little Rock, AR | O&OO&OLSALSA | KARKKARZKLRT(5)KASN(5) | NBCMNTVFOXThe CW | KARK-D2, D3, D4KARZ-D2KLRT-D2KASN-D2, D3, D4, D5 | Laff, GRIT, Antenna TVBounceION MysteryRewind TV, ION, Defy, TrueReal | 6/1/20296/1/20296/1/20296/1/2029 
 | Knoxville, TN | O&O | WATE | ABC | WATE-D2, D3, D4 | Antenna TV, Rewind TV, Cozi TV | 8/1/2029 
 | Lexington, KY | O&O | WDKY | FOX | WDKY-D2, D3, D4 | Rewind TV, Charge, TBD | 8/1/2029 
 | Dayton, OH | O&OLSA | WDTNWBDT(7)(10) | NBCThe CW | WDTN-D2, D3WBDT-D2 | ION Mystery, IONBounce | 10/1/202910/1/2029 
66 | Honolulu, HI | O&OO&OO&OO&OO&OO&O | KHONKHAW(11)KAII(11)KGMD(11)KGMV(11)KHII | FOXFOXFOXMNTVMNTVMNTV | KHON-D2, D3, D4KHAW-D2, D3, D4KAII-D2, D3, D4 | The CW, GRIT, Rewind TVThe CW, GRIT, Rewind TVThe CW, GRIT, Rewind TV | 2/1/20232/1/20232/1/20232/1/20232/1/20232/1/2023
 | Des Moines, IA | O&O | WHO | NBC | WHO-D2, D3, D4 | Rewind TV, Antenna TV, Court TV | 2/1/2030 
 | Green Bay, WI | O&O | WFRV | CBS | WFRV-D2, D3, D4 | Bounce, True Crime, Rewind TV | 12/1/2029 
 | Wichita, KS | O&OO&OO&OO&OO&O | KSNWKSNC(12)KSNG(12)KSNK(12) | NBCNBCNBCNBC | KSNW-D2, D3, D4KSNG-D2KSNL-LD | Telemundo, ION, True CrimeTelemundoNBC | 6/1/2030(19)(19)(19)(19)6/1/2030 
 | Roanoke, VA | O&OO&O | WFXRWWCW | FOXThe CW | WFXR-D2, D3, D4WWCW-D2, D3, D4 | The CW, Bounce, QuestFOX, Rewind TV, GRIT | 10/1/202810/1/2028 
75 | Springfield, MO | O&OO&OLSA | KRBKKOZLKOLR(5) | FOXMNTVCBS | KRBK-D2, D3, D4KOZL-D2, D3, D4KOLR-D2, D3, D4 | Antenna TV, Dabl, IONION Mystery, Bounce, Rewind TVLaff, GRIT, ShopLC | (19)2/1/20302/1/2030 
77 | Rochester, NY | O&O | WROC | CBS | WROC-D2, D3, D4 | Bounce, Laff, ION Mystery | 6/1/2023 
79 | Charleston, WV | O&O | WOWK | CBS | WOWK-D2, D3, D4 | ION Mystery, Laff, Rewind TV | 10/1/2028 
 | Huntsville, AL | O&OO&O | WHNTWHDF | CBSThe CW | WHNT-D2, D3WHDF-D2, D3, D4 | The CW, Antenna TVCourt TV, Rewind TV, HSN | 4/1/20294/1/2029 
 | Waco-Bryan, TX | O&OO&O | KWKTKYLE | FOXMNTV | KWKT-D2, D3, D4KYLE-D2, D3, D4 | MNTV, Antenna TV, BounceFOX, Antenna TV, Laff | (19) 
 | Brownsville, TX | O&OO&O | KVEOKGBT | NBCMNTV | KVEO-D2KGBT-D2, D3, D4, D5, D6 | CBSRewind TV, Comet, Estrella, ION Mystery, GRIT | 8/1/2030(19) 
 | Syracuse, NY | O&O | WSYR | ABC | WSYR-D2, D3, D4 | Antenna TV, Bounce, Laff | 6/1/2023 
 | Colorado Springs, CO | O&OO&O | KXRM | FOX | KXRM-D2, D3, D4KXTU-LD, D2, D3, D4 | The CW, ION, ION MysteryThe CW, Bounce, Laff, Antenna TV | (19) 
 | Savannah, GA | O&O | WSAV | NBC | WSAV-D2, D3, D4 | The CW, Court TV/MNTV, Laff | (19) 
 | Charleston, SC | O&O | WCBD | NBC | WCBD-D2, D3, D4 | The CW, ION, Laff | 12/1/2028 
 | Shreveport, LA | O&OO&OLSA | KTALKSHVKMSS(5) | NBCMNTVFOX | KTAL-D2, D3, D4KSHV-D2, D3, D4KMSS-D2 | Laff, Cozi TV, HSNION Mystery, ION, QuestRewind TV | (19)6/1/20296/1/2029 
 | Champaign, IL | O&OO&O | WCIAWCIX | CBSMNTV | WCIA-D2, D3, D4WCIX-D2, D3, D4 | MNTV, Bounce, GRITCBS, ION Mystery, Laff | (19)12/1/2029 
 | El Paso, TX | O&O | KTSM | NBC | KTSM-D2, D3, D4 | Estrella, ION Mystery, Laff | (19) 

 
9




Market Rank(1) | Market | Status(2) | Full Power Stations | Primary Affiliation(3) | Low Power Stations / Multicast Channels | Other Affiliation(3)(4) | FCC License Expiration Date 
 | Burlington, VT | O&OLSA | WFFFWVNY(5) | FOXABC | WFFF-D2, D3,D4WVNY-D2, D3, D4 | ION Mystery, Bounce, Antenna TVLaff, GRIT, Quest | 4/1/20234/1/2023 
