Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1. Business
​
We are a leading diversified metal solutions provider and the largest metals service center company in North America (U.S. and Canada) based on revenues, with 2022 net sales of $17.03 billion. 
​
We have been in business over 80 years since our original organization on February 3, 1939, operating a single metals service center in Los Angeles, California fabricating steel reinforcing bar. We reincorporated in the State of Delaware in 2015. Our common stock is listed on the New York Stock Exchange (“NYSE”) under the symbol “RS” and was first traded on September 16, 1994.
​
We believe we have a unique and sustainable business model predicated on the following key attributes:
​

● | Diversity of Products, Customers and Services
--+----------------------------------------------

We operate through a network of approximately 315 locations in 40 U.S. states and in 12 foreign countries. We distribute a full line of over 100,000 metal products, including alloy, aluminum, brass, copper, carbon steel, stainless steel, titanium and specialty steel products.
​
We have more than 125,000 customers in a variety of industries, including general manufacturing, non-residential construction (including infrastructure), transportation (rail, truck trailer and shipbuilding), aerospace (commercial; military, defense and space), energy (oil and natural gas), electronics and semiconductor fabrication, and heavy industry (agricultural, construction and mining equipment). We also service the auto industry, primarily through our toll processing operations where we process the metal for a fee, without taking ownership of the metal.
​
Our diversification by product, end market and geography helps mitigate volatility in metals pricing and changing end market conditions. We are not dependent on any particular customer or industry because we process and distribute a variety of metals. This diversity of product type and material reduces our exposure to fluctuations or other weaknesses in the financial stability of particular customers or industries. We are also less dependent on any particular suppliers as a result of our product diversification. As a result, we have remained profitable every year, even during recessionary periods and a global pandemic, since our initial public offering in 1994.
​

● | Customer Relationships
--+-----------------------

We believe that our focus on servicing customers with small order sizes and quick turnaround, along with our growth and diversification strategy, has been instrumental in our ability to produce industry-leading operating results among publicly traded metals service center companies in North America. In 2022, approximately 97% of our orders were from repeat customers and we delivered approximately 40% of our orders within 24 hours of the customer placing the order with us. 
​

● | Value-Added Solutions Provider
--+-------------------------------

We provide a wide variety of processing services to meet our customers’ specifications and deliver products to fabricators, manufacturers and other end users. We believe that few other metals service centers offer the broad range of processing services and metals that we provide. Our primary processing services range from cutting, leveling or sawing to more complex processes such as machining or electropolishing. We generally only process specific metals to non-standard sizes pursuant to customer purchase order specifications. In addition, we typically acquire standard size and grade products that can be processed into many different sizes to meet the needs of many different customers. 
​
We have increased the amount of value-added processing services we provide through recent acquisitions and significant investments in new equipment over the past several years. Expanding our value-added capabilities (including toll processing) and increasing the percentage of our total sales represented by the higher margin orders generated from those capabilities, helps reduce the volatility in our profitability ratios during periods of unfavorable metals demand and/or pricing. 
​
​

1




● | Industry leader
--+----------------

According to the Metals Service Center Institute (“MSCI”) reporting of industry tons sold in the U.S., our 2022 tons sold from our U.S. locations represented approximately 14.5% of the total tons sold by the U.S. metals service center industry. Metals service centers are the largest single customer group for the North America primary metals producers (“mills”) in the broader metals wholesale industry with estimated sales of approximately $219 billion according to IBISWorld Inc.’s July 2022 report, a global intelligence publication. We believe our relatively low level of market share shown by MSCI leaves significant opportunity for further strategic growth within the industry.
​

● | Pricing Power
--+--------------

We primarily operate in the spot market for both the purchase and sale of our products. As a limited portion of our business is dependent on long-term contractual commitments, we have the ability to quickly pass on raw material price increases to our customers and maintain consistency in our gross profit margin. 
​

● | Purchasing Power
--+-----------------

We believe we are one of the largest customers of the North American mills. We believe that our significant scale and relationships with suppliers enable significant purchasing power and product availability in all market conditions.
​
Our business is relationship-based and we operate under the following trade names: 
​

​ | ​ | ​ 
-------------------------------------------------+---+-----------------
Trade Name | | No. of Locations
Reliance Divisions | ​ | ​ 
Bralco Metals | ​ | ​ 
Bralco Metals | ​ | 6 
Affiliated Metals | ​ | 1 
MetalCenter | ​ | 1 
Olympic Metals | ​ | 1 
Central Plains Steel Co. | ​ | 1 
Reliance Metalcenter | ​ | 8 
Reliance Steel Company | ​ | 2 
Smith Pipe & Steel Company | ​ | 1 
Tube Service Co. | ​ | 6 
Admiral Metals Servicenter Company, Incorporated | ​ | 7 
All Metals Processing & Logistics, Inc. | ​ | 2 
All Metal Services | ​ | ​ 
All Metal Services Limited (United Kingdom) | ​ | 4 
All Metal Services France | ​ | 1 
All Metal Services India Private Limited | ​ | 1 
All Metal Services Ltd. (China) | ​ | 1 
All Metal Services (Malaysia) Sdn. Bhd. | ​ | 1 
Allegheny Steel Distributors, Inc. | ​ | 1 
American Metals Corporation | ​ | ​ 
American Metals | ​ | 2 
American Steel | ​ | 2 
Alaska Steel Company | ​ | 3 
Haskins Steel Company | ​ | 1 
Lampros Steel | ​ | 1 
LSI Plate | ​ | 1 
Plate Sales | ​ | 1 
AMI Metals, Inc. | ​ | ​ 
AMI Metals | ​ | 6 
AMI Metals UK, Limited | ​ | 1 
AMI Metals Europe (Belgium) | ​ | 1 

2




​ | ​ | ​ 
----------------------------------------------------------------------------+---+-----------------
Trade Name | | No. of Locations
AMI Metals Aero Services Ankara Havacılık Anonim Şirketi (Turkey) | ​ | 1 
Best Manufacturing, Inc. | ​ | 1 
CCC Steel, Inc. | ​ | ​ 
CCC Steel | ​ | 1 
IMS Steel Co. | ​ | 1 
Chapel Steel Corp. | ​ | ​ 
Chapel Steel Corp. | ​ | 6 
Chapel Steel Canada, Ltd. | ​ | 1 
Chatham Steel Corporation | ​ | 5 
Clayton Metals, Inc. | ​ | 2 
Continental Alloys & Services | ​ | ​ 
Continental Alloys & Services Limited (UK) | ​ | 2 
Continental Alloys & Services Middle East FZE (Dubai) | ​ | 1 
Continental Alloys & Services (Malaysia) Sdn. Bhd. | ​ | 1 
Continental Alloys & Services Pte. Ltd. (Singapore) | ​ | 1 
Crest Steel Corporation | ​ | 1 
Delta Steel, Inc. | ​ | 4 
Diamond Manufacturing Company | ​ | ​ 
Diamond Manufacturing | ​ | 2 
Ferguson Perforating Company | ​ | 2 
McKey Perforating Co. | ​ | 1 
Perforated Metals Plus | ​ | 1 
DuBose | ​ | ​ 
DuBose National Energy Fasteners & Machined Parts, Inc. | ​ | 1 
DuBose National Energy Services, Inc. | ​ | 1 
Durrett Sheppard Steel Co., Inc. | ​ | 1 
Earle M. Jorgensen Company | ​ | ​ 
Earle M. Jorgensen | ​ | 31 
Steel Bar | ​ | 1 
Feralloy Corporation | ​ | ​ 
Feralloy | ​ | 4 
Acero Prime S. de R.L. de C.V. | ​ | 4 
Feralloy AP Sinton Processing Center | ​ | 1 
Feralloy Processing Company | ​ | 1 
GH Metal Solutions | ​ | 4 
Indiana Pickling and Processing Company (56%-owned) | ​ | 1 
Oregon Feralloy Partners (40%-owned) | ​ | 1 
Fox Metals and Alloys, Inc. | ​ | 1 
Fry Steel Company | ​ | 2 
Infra-Metals Co. | ​ | ​ 
Infra-Metals | ​ | 5 
Athens Steel | ​ | 1 
Infra-Metals / IMS Steel / Industrial Metals Supply / Georgia Steel Company | ​ | 2 
KMS | ​ | ​ 
KMS Fab, LLC | ​ | 1 
KMS South, Inc. | ​ | 1 
Liebovich Bros., Inc. | ​ | ​ 
Liebovich Steel & Aluminum Company | ​ | 4 
Custom Fab Company | ​ | 1 
Good Metals Company | ​ | 1 
Hagerty Steel & Aluminum Company | ​ | 1 
Metalweb Limited | ​ | 3 
Metals USA, Inc. | ​ | ​ 

3




​ | ​ | ​ 
--------------------------------------------------------+---+-----------------
Trade Name | | No. of Locations
Gregor Technologies | ​ | 1 
Lynch Metals | ​ | 2 
Metals USA | ​ | 22 
Port City Metal Services | ​ | 1 
The Richardson Trident Company, LLC | ​ | 3 
National Specialty Alloys, Inc. | ​ | ​ 
National Specialty Alloys | ​ | 3 
Aleaciones Especiales de Mexico, S. de R.L. de C.V. | ​ | 1 
Northern Illinois Steel Supply Co. | ​ | 2 
Nu-Tech Precision Metals Inc. | ​ | 1 
Pacific Metal Company | ​ | 5 
PDM Steel Service Centers, Inc. | ​ | ​ 
PDM Steel Service Centers | ​ | 8 
Feralloy PDM Steel Service | ​ | 1 
Phoenix Corporation | ​ | ​ 
Phoenix Metals Company | ​ | 14 
Precision Flamecutting and Steel, Inc. | ​ | 1 
Precision Strip Inc. | ​ | 15 
Reliance Metalcenter Asia Pacific Pte. Ltd. (Singapore) | ​ | 1 
Reliance Metals Canada Limited | ​ | ​ 
Earle M. Jorgensen (Canada) | ​ | 7 
Encore Metals | ​ | 7 
Service Steel Aerospace Corp. | ​ | ​ 
Service Steel Aerospace | ​ | 3 
Dynamic Metals International | ​ | 1 
United Alloys Aircraft Metals | ​ | 1 
Siskin Steel & Supply Company, Inc. | ​ | ​ 
Siskin Steel | ​ | 4 
East Tennessee Steel Supply Company | ​ | 1 
Steel Store | ​ | 1 
Sugar Steel Corporation | ​ | 3 
